Game Number,High Score
0,0
15,1
117,2
132,3
202,4
204,5
209,6
212,7
221,8
225,9
243,10
250,11
254,12
259,13
260,14
263,15
264,16
269,17
274,18
279,19
280,20
282,21
292,22
294,23
307,24
308,25
309,26
310,27
321,28
324,29
330,30
331,31
332,32
333,33
336,34
337,35
338,36
341,37
345,38
353,39
354,40
357,41
362,42
367,43
369,44
375,45
379,46
392,47
430,48
445,49
472,50
530,51
598,52
631,53
