Game Number,High Score
0,0
10,1
154,2
211,3
213,4
220,5
224,6
230,7
239,8
240,9
244,10
246,11
247,12
249,13
253,14
255,15
257,16
259,17
263,18
265,19
266,20
267,21
268,22
270,23
271,24
272,25
273,26
275,27
277,28
279,29
281,30
282,31
283,32
285,33
288,34
290,35
292,36
295,37
296,38
303,39
304,40
307,41
308,42
314,43
320,44
325,45
329,46
