Game Number,High Score
0,0
6,1
107,2
280,3
329,4
347,5
353,6
357,7
383,8
395,9
410,10
430,11
441,12
459,13
468,14
473,15
483,16
487,17
497,18
508,19
522,20
536,21
550,22
564,23
581,24
592,25
609,26
621,27
638,28
647,29
659,30
676,31
685,32
692,33
